Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/2017,76577,43209,OH,Columbus,Franklin,Bexley,2795,238300,0.006759611,0.028041415,0.101201479,0.06875066,0.027544928,2017-02,2017-Q1,238300,0,2017-02
2/28/2017,61141,8648,NJ,Trenton,Mercer,Lawrence,2796,255500,0.000783392,0,-0.017307692,0.00859288,-0.02018733,2006-11,2006-Q4,314600,-0.187857597,2004-07
2/28/2017,58639,2125,MA,Boston,Suffolk,Boston,2797,431300,0.007945782,0.024708957,0.091622374,0.109528386,0.041718381,2017-02,2017-Q1,431300,0,2017-02
2/28/2017,62530,12309,NY,Albany,Schenectady,Town of Niskayuna,2798,234200,0.007745267,0.023154216,0.069406393,0.014812014,-0.000255831,2006-07,2006-Q3,239200,-0.02090301,2006-03
2/28/2017,78067,46268,IN,Indianapolis,Marion,Indianapolis,2799,122100,0.002463054,0.004938272,0.014962594,0.015072707,-0.01159222,2006-12,2006-Q4,137900,-0.11457578,
2/28/2017,71904,32258,FL,Jacksonville,Duval,Jacksonville,2800,226600,0.003098716,0.005770084,0.06335054,0.065246148,-0.009977152,2006-11,2006-Q4,255500,-0.113111546,2005-10
2/28/2017,62199,11717,NY,New York,Suffolk,Town of Islip,2801,274300,0.006605505,0.032367332,0.104712042,0.083604066,-0.029824985,2007-03,2007-Q1,371900,-0.262436139,2004-07
2/28/2017,95939,89511,NV,Reno,Washoe,Reno,2802,589600,-0.000339098,0.001528792,0.076108779,0.10955571,-0.001480412,2006-04,2006-Q2,662100,-0.109500076,2005-01
2/28/2017,86357,64119,MO,Kansas City,Jackson,Kansas City,2803,119800,0.006722689,0.017841971,0.069642857,0.025166085,-0.012457705,2004-12,2004-Q4,137000,-0.125547445,2001-10
2/28/2017,97990,95122,CA,San Jose,Santa Clara,San Jose,2804,603800,0.00549542,0.022869727,0.078984989,0.142484359,0.00071496,2017-02,2017-Q1,603800,0,2017-02
2/28/2017,84691,60714,IL,Chicago,Cook,Niles,2805,280200,0.003222342,0.014115092,0.065804488,0.060895029,-0.027679545,2006-06,2006-Q2,379500,-0.261660079,2003-02
2/28/2017,84632,60631,IL,Chicago,Cook,Chicago,2806,322900,0.007174049,0.017328292,0.041949016,0.05720166,-0.018501769,2006-10,2006-Q4,395300,-0.183152036,2004-03
2/28/2017,77521,45230,OH,Cincinnati,Hamilton,Cincinnati,2807,161400,0.00875,0.029336735,0.066050198,0.036367899,0.008296993,2017-02,2017-Q1,161400,0,2017-02
2/28/2017,95193,86406,AZ,Lake Havasu City,Mohave,Lake Havasu City,2808,236500,-0.001688476,-0.00379107,0.056747096,0.074525718,-0.010827346,2006-04,2006-Q2,279800,-0.154753395,2005-01
2/28/2017,70961,30215,GA,Atlanta,Fayette,Fayetteville,2809,242400,0.004975124,0.007062734,0.037227214,0.055078024,0.001833537,2006-10,2006-Q4,248800,-0.025723473,2006-03
2/28/2017,72168,32720,FL,Daytona Beach,Volusia,Deland,2810,159300,0.003148615,0.018542199,0.128186969,0.109617147,-0.02101744,2006-08,2006-Q3,204200,-0.219882468,2005-01
2/28/2017,58749,2368,MA,Boston,Norfolk,Randolph,2811,304400,0.002965404,0.016360601,0.099710983,0.073920765,-0.001756885,2006-01,2006-Q1,328000,-0.07195122,2004-08
2/28/2017,66846,21237,MD,Baltimore,Baltimore,Rosedale,2812,202100,0.002480159,0.016599598,0.06256572,0.02354521,-0.020888451,2006-11,2006-Q4,250800,-0.194178628,2005-06
2/28/2017,84434,60189,IL,Chicago,Du Page,Wheaton,2813,377100,0.000530645,0.009098207,0.035135877,0.044107382,-0.006373769,2007-02,2007-Q1,402000,-0.061940299,2005-08
2/28/2017,93588,80910,CO,Colorado Springs,El Paso,Colorado Springs,2814,173900,0.009872242,0.026564345,0.150893448,0.079368582,,2017-02,2017-Q1,173900,0,2017-02
2/28/2017,87894,68164,NE,Omaha,Douglas,Omaha,2815,157700,0.001905972,0.012195122,0.060524546,0.037796208,0.01461606,2017-02,2017-Q1,157700,0,2017-02
2/28/2017,72485,33183,FL,Miami-Fort Lauderdale,Miami-Dade,Kendale Lakes,2816,205500,0.002928258,0.007846984,0.110810811,0.1215552,-0.01929288,2007-08,2007-Q3,253500,-0.189349112,2005-08
2/28/2017,79800,49548,MI,Grand Rapids,Kent,Grand Rapids,2817,111800,0.014519056,0.049765258,0.15376677,0.110160204,0.002723725,2017-02,2017-Q1,111800,0,2017-02
2/28/2017,95826,89130,NV,Las Vegas,Clark,Las Vegas,2818,225900,0.004,0.009383378,0.098735409,0.136200975,-0.031619985,2006-05,2006-Q2,323700,-0.302131603,2004-04
2/28/2017,73011,34120,FL,Naples,Collier,Orangetree,2819,294300,-0.006414585,-0.009090909,0.053705693,0.124196585,-0.025744895,2006-11,2006-Q4,390800,-0.246929376,2005-04
2/28/2017,97001,92701,CA,Los Angeles-Long Beach-Anaheim,Orange,Santa Ana,2820,447800,0.011977401,0.037294417,0.07257485,0.118152381,-0.022128359,2007-02,2007-Q1,560100,-0.200499911,2005-01
2/28/2017,58632,2118,MA,Boston,Suffolk,Boston,2821,787300,0.008583141,0.021273836,0.050573792,0.088046923,0.052650694,2017-02,2017-Q1,787300,0,2017-02
2/28/2017,72600,33434,FL,Miami-Fort Lauderdale,Palm Beach,Boca Raton,2822,142000,0.010676157,0.03725347,0.16202946,0.118821144,-0.038280801,2006-09,2006-Q3,221700,-0.359494813,
2/28/2017,75867,41011,KY,Cincinnati,Kenton,Covington,2823,130500,-0.002293578,-0.010614102,0.061838893,0.020341852,0.00700585,2016-11,2016-Q4,131900,-0.010614102,2016-08
